WKT,ID,目撃痕跡種別,出没年,出没日,時刻,市町名,場所,備考,頭数,集落,集落コード,500mメッシュコード,緯度,経度,誘引物が原因の出没,誘引物と考えられるもの
POINT (136.6888085 36.5279912),1432,痕跡,R2,R2.6.23,,金沢市,金沢市大桑町地内,階段付近で糞の発見,,大桑,1.72E+09,5.44E+08,36.5279912,136.6888085,1,果樹園
POINT (136.6830043 36.5257531),1434,痕跡,R2,R2.8.12,,金沢市,金沢市大桑町地内,梨が食べられていた,,大桑,1.72E+09,5.44E+08,36.5257531,136.6830043,1,ナシ
POINT (136.6829753 36.5257607),1436,痕跡,R2,R2.8.16,,金沢市,金沢市大桑町地内,梨の木被害,,大桑,1.72E+09,5.44E+08,36.5257607,136.6829753,1,ナシ
POINT (136.6332767 36.514657),1440,痕跡,R2,R2.8.29,,金沢市,金沢市高尾町南1丁目地内,栗の木被害,,高尾,1.72E+09,5.44E+08,36.514657,136.6332767,1,クリ
POINT (136.485799 36.356606),1441,痕跡,R2,R2.8.31,,小松市,小松市長谷町,柿の木被害,,長谷町,1.72E+09,5.44E+08,36.356606,136.485799,1,カキ
POINT (136.7072103 36.5026136),1444,痕跡,R2,R2.9.14,,金沢市,金沢市上辰巳町地内,柿の木被害,,上辰己,1.72E+09,5.44E+08,36.5026136,136.7072103,1,カキ
POINT (136.494525 36.356322),1446,痕跡,R2,R2.9.16,,小松市,小松市金野町,柿の木被害あり、現地確認拒否,,金野町,1.72E+09,5.44E+08,36.356322,136.494525,1,カキ
POINT (136.7002575 36.5389901),1448,痕跡,R2,R2.9.16,,金沢市,金沢市田上新町地内,栗の木被害,,田上,1.72E+09,5.44E+08,36.5389901,136.7002575,1,クリ
POINT (136.76301 36.79301),1449,痕跡,R2,R2.9.16,,宝達志水町,宝達志水町坪野地内,坪山区在住者宅の裏にあるクリが食べられているとの連絡があり、現地を確認。,,坪山,1.74E+09,5.54E+08,36.79301,136.76301,1,クリ
POINT (136.6828922 36.5228798),1452,痕跡,R2,R2.9.17,,金沢市,金沢市末町地内,柿の木被害,,末,1.72E+09,5.44E+08,36.5228798,136.6828922,1,クリ
POINT (136.527531 36.422346),1455,痕跡,R2,R2.9.18,,小松市,小松市上八里町,栗の木2本クマにより倒木、柿の木に爪痕と柿残骸多数あり,,上八里町,1.72E+09,5.44E+08,36.422346,136.527531,1,クリ、カキ
POINT (136.486956 36.266361),1456,痕跡,R2,R2.9.18,,小松市,小松市大杉町,クマによる倒木（柿の木）　,,下大杉町,1.72E+09,5.44E+08,36.266361,136.486956,1,クリ
POINT (136.633472 36.5145576),1457,痕跡,R2,R2.9.20,,金沢市,金沢市高尾南1丁目,クリの枝折れを発見,,高尾町,1.72E+09,5.44E+08,36.5145576,136.633472,1,クリ
POINT (136.416223 36.300237),1458,痕跡,R2,R2.9.21,,小松市,小松市滝ケ原町,クマによる倒木（柿の木）　、栗の木被害,,滝ケ原町,1.72E+09,5.44E+08,36.300237,136.416223,1,クリ、カキ
POINT (136.448648 36.351823),1459,痕跡,R2,R2.9.21,,小松市,小松市木場台,クマによる倒木（柿の木）　、栗の木被害,,木場町,1.72E+09,5.44E+08,36.351823,136.448648,1,クリ、カキ
POINT (136.527606 36.331394),1461,痕跡,R2,R2.9.22,,小松市,小松市観音下町,町内全体にクマによる倒木（柿の木）　、栗の木被害あり,,観音下町,1.72E+09,5.44E+08,36.331394,136.527606,1,クリ、カキ
POINT (136.6101863 36.36505598),1462,痕跡,R2,R2.9.22,,白山市,白山市釜清水町,釜清水町地内にある墓場周辺のクルミの木にクマの爪痕を発見,,釜清水,1.72E+09,5.44E+08,36.36505598,136.6101863,1,クルミ
POINT (136.707534 36.5027267),1465,痕跡,R2,R2.9.23,,金沢市,金沢市上辰巳町地内,柿の木が折られていた,,上辰己,1.72E+09,5.44E+08,36.5027267,136.707534,1,カキ
POINT (136.6166505 36.39631804),1470,痕跡,R2,R2.9.24,,白山市,白山市河合町,河合町地内でクマの足跡・糞・栗の木の枝折を発見,,河合,1.72E+09,5.44E+08,36.39631804,136.6166505,1,クリ
POINT (136.514742 36.344362),1471,痕跡,R2,R2.9.25,,小松市,小松市沢町,広範囲の柿の木に痕跡あり,,沢町,1.72E+09,5.44E+08,36.344362,136.514742,1,カキ
POINT (136.450049 36.329148),1472,痕跡,R2,R2.9.26,,小松市,小松市西原町,柿の木に痕跡あり（爪痕、枝折り、糞）。,,西原町,1.72E+09,5.44E+08,36.329148,136.450049,1,カキ
POINT (136.7749172 36.5015317),1475,痕跡,R2,R2.9.27,,金沢市,金沢市栃尾町地内,クルミの木の枝が折られていた,,栃尾,1.72E+09,5.44E+08,36.5015317,136.7749172,1,クルミ
POINT (136.518567 36.419654),1476,痕跡,R2,R2.9.28,,小松市,小松市下八里町,柿の木にクマの痕跡あり,,下八里町,1.72E+09,5.44E+08,36.419654,136.518567,1,カキ
POINT (136.6814096 36.59704),1477,痕跡,R2,R2.9.28,,金沢市,金沢市神谷内町地内,柿の木の枝折れ及び糞を発見,,神谷内町,1.72E+09,5.44E+08,36.59704,136.6814096,1,カキ
POINT (136.7981124 36.66793538),1478,痕跡,R2,R2.9.28,,津幡町,津幡町坂戸地内,栗の木が折られ、荒らされている。クマの痕跡、足跡を確認,,坂戸,1.74E+09,5.54E+08,36.66793538,136.7981124,1,クリ
POINT (136.470551 36.372312),1482,痕跡,R2,R2.9.29,,小松市,小松市蓮代寺町,農家（柿の木）,,蓮代寺町,1.72E+09,5.44E+08,36.372312,136.470551,1,カキ
POINT (136.6798638 36.5303801),1483,痕跡,R2,R2.9.29,,金沢市,金沢市大桑町地内,カキの木の枝折れを発見,,大桑,1.72E+09,5.44E+08,36.5303801,136.6798638,1,カキ
POINT (136.6854372 36.5270444),1484,痕跡,R2,R2.9.29,,金沢市,金沢市大桑町地内,カキの木の枝折れを発見,,大桑,1.72E+09,5.44E+08,36.5270444,136.6854372,1,カキ
POINT (136.763832 36.4806458),1488,痕跡,R2,R2.9.30,,金沢市,金沢市湯涌曲町地内,クリの木の枝が折られていた,,湯涌曲,1.72E+09,5.44E+08,36.4806458,136.763832,1,カキ
POINT (136.7921027 36.80947604),1491,痕跡,R2,R2.10.1,,宝達志水町,宝達志水町宝達地内,宝達区専福寺に隣接している納屋の側面がクマによって破壊されているのを、報告者が発見。;壁に残っていた爪痕を確認。クマが壁を壊して、中にあったハチの巣を捕食していたと思われ?,,宝達,1.74E+09,5.54E+08,36.80947604,136.7921027,1,はちみつ
POINT (136.725248 36.4916661),1492,痕跡,R2,R2.10.1,,金沢市,金沢市菅池町地内,柿の木が折れていた,,菅池,1.72E+09,5.44E+08,36.4916661,136.725248,1,カキ
POINT (136.6799023 36.58811),1495,痕跡,R2,R2.10.3,,金沢市,金沢市小坂町地内,柿の木被害,,小坂町,1.72E+09,5.44E+08,36.58811,136.6799023,1,カキ
POINT (136.460144 36.367927),1497,痕跡,R2,R2.10.4,,小松市,小松市三谷町,農道にどんぐり、木の枝が散乱、クマが食い散らかした跡,,三谷町,1.72E+09,5.44E+08,36.367927,136.460144,1,どんぐり
POINT (136.6778752 36.5304645),1498,痕跡,R2,R2.10.4,,金沢市,金沢市つつじが丘地内,クルミの木被害,,野田町,1.72E+09,5.44E+08,36.5304645,136.6778752,1,クルミ
POINT (136.6871039 36.5139524),1500,痕跡,R2,R2.10.4,,金沢市,金沢市末町地内,柿の木が折られていた,,末,1.72E+09,5.44E+08,36.5139524,136.6871039,1,カキ
POINT (136.6798972 36.5882094),1501,痕跡,R2,R2.10.4,,金沢市,金沢市小坂町地内,柿の木の被害,,小坂町,1.72E+09,5.44E+08,36.5882094,136.6798972,1,カキ
POINT (136.6816186 36.534604),1503,痕跡,R2,R2.10.5,,金沢市,金沢市大桑町地内,柿の木被害,,大桑,1.72E+09,5.44E+08,36.534604,136.6816186,1,カキ
POINT (136.453579 36.329208),1506,痕跡,R2,R2.10.6,,小松市,小松市牧口町,広範囲に柿の木の枝折り、糞、足跡の痕跡あり,,牧口町,1.72E+09,5.44E+08,36.329208,136.453579,1,カキ
POINT (136.428311 36.311026),1507,痕跡,R2,R2.10.6,,小松市,小松市那谷町,柿の木、栗の木が荒らされている。,,那谷町,1.72E+09,5.44E+08,36.311026,136.428311,1,カキ、クリ
POINT (136.6883294 36.5149002),1509,痕跡,R2,R2.10.6,,金沢市,金沢市末町地内,カキの木被害,,末,1.72E+09,5.44E+08,36.5149002,136.6883294,1,カキ
POINT (136.6803099 36.5261182),1510,痕跡,R2,R2.10.6,,金沢市,金沢市つつじが丘地内,梨とリンゴの食害,,野田町,1.72E+09,5.44E+08,36.5261182,136.6803099,1,ナシ、リンゴ
POINT (136.7232241 36.4908738),1513,痕跡,R2,R2.10.7,,金沢市,金沢市瀬領町地内,柿の木被害,,瀬領,1.72E+09,5.44E+08,36.4908738,136.7232241,1,カキ
POINT (136.6828068 36.5967382),1514,痕跡,R2,R2.10.7,,金沢市,金沢市神谷内町地内,果樹被害,,神谷内町,1.72E+09,5.44E+08,36.5967382,136.6828068,1,果樹
POINT (136.6997169 36.5176961),1516,痕跡,R2,R2.10.7,,金沢市,金沢市袋板屋町地内,柿の木被害,,袋板屋,1.72E+09,5.44E+08,36.5176961,136.6997169,1,カキ
POINT (136.528795 36.331705),1517,痕跡,R2,R2.10.9,,小松市,小松市松岡町,柿の木に痕跡（クマの爪痕）あり,,松岡町,1.72E+09,5.44E+08,36.331705,136.528795,1,カキ
POINT (136.6879935 36.5250354),1519,痕跡,R2,R2.10.9,,金沢市,金沢市永安町地内,金沢市高区配水池大桑配水場の裏手付近で柿の木被害,,末,1.72E+09,5.44E+08,36.5250354,136.6879935,1,カキ
POINT (136.6706565 36.53139),1521,痕跡,R2,R2.10.9,,金沢市,金沢市野田町地内,クマの足跡、柿の木の枝折れを発見,,野田町,1.72E+09,5.44E+08,36.53139,136.6706565,1,カキ
POINT (136.6850999 36.6035553),1522,痕跡,R2,R2.10.9,,金沢市,金沢市法光寺町地内,柿の木被害,,法光寺町,1.72E+09,5.44E+08,36.6035553,136.6850999,1,カキ
POINT (136.631111 36.5107296),1523,痕跡,R2,R2.10.9,,金沢市,金沢市大額町地内,柿の木に爪痕被害と糞あった。,,大額町,1.72E+09,5.44E+08,36.5107296,136.631111,1,カキ
POINT (136.6743593 36.5288944),1525,痕跡,R2,R2.10.10,,金沢市,金沢市大桑町地内,柿の木被害,,大桑,1.72E+09,5.44E+08,36.5288944,136.6743593,1,カキ
POINT (136.6986792 36.5193467),1526,痕跡,R2,R2.10.10,,金沢市,金沢市銚子町地内,クマの糞を発見,,銚子口,1.72E+09,5.44E+08,36.5193467,136.6986792,1,カキ
POINT (136.6944905 36.5083472),1527,痕跡,R2,R2.10.10,,金沢市,金沢市天池町地内,柿の木被害,,天池,1.72E+09,5.44E+08,36.5083472,136.6944905,1,カキ
POINT (136.7025548 36.5187769),1529,痕跡,R2,R2.10.11,,金沢市,金沢市上中町地内,果樹被害,,上中,1.72E+09,5.44E+08,36.5187769,136.7025548,1,果樹
POINT (136.6879507 36.5250161),1532,痕跡,R2,R2.10.12,,金沢市,金沢市永安町地内,柿の木被害,,末,1.72E+09,5.44E+08,36.5250161,136.6879507,1,カキ
POINT (136.7041569 36.5162424),1535,痕跡,R2,R2.10.13,,金沢市,金沢市上辰巳町地内,柿の被害,,上辰己,1.72E+09,5.44E+08,36.5162424,136.7041569,1,カキ
POINT (136.6846607 36.5237364),1536,痕跡,R2,R2.10.13,,金沢市,金沢市末町地内,柿の木被害,,末,1.72E+09,5.44E+08,36.5237364,136.6846607,1,カキ
POINT (136.7074932 36.5125091),1537,痕跡,R2,R2.10.13,,金沢市,金沢市袋板屋町地内,柿の木被害,,袋板屋,1.72E+09,5.44E+08,36.5125091,136.7074932,1,カキ
POINT (136.6868253 36.5062532),1538,痕跡,R2,R2.10.13,,金沢市,金沢市山川町地内,柿の木被害,,山川,1.72E+09,5.44E+08,36.5062532,136.6868253,1,カキ
POINT (136.681355 36.5970024),1542,痕跡,R2,R2.10.14,,金沢市,金沢市神谷内町地内,柿の木被害、栗の木被害,,神谷内町,1.72E+09,5.44E+08,36.5970024,136.681355,1,カキ
POINT (136.6972922 36.5187651),1543,痕跡,R2,R2.10.14,,金沢市,金沢市舘町地内,柿の木被害,,舘町,1.72E+09,5.44E+08,36.5187651,136.6972922,1,カキ
POINT (136.6973663 36.5227537),1544,痕跡,R2,R2.10.14,,金沢市,金沢市銚子町地内,果樹被害,,銚子口,1.72E+09,5.44E+08,36.5227537,136.6973663,1,果樹
POINT (136.6807653 36.5302208),1545,痕跡,R2,R2.10.14,,金沢市,金沢市大桑町地内,クマの足跡を確認,,大桑,1.72E+09,5.44E+08,36.5302208,136.6807653,1,
POINT (136.6896666 36.5148388),1546,痕跡,R2,R2.10.15,,金沢市,金沢市末町地内,柿の木の枝折れ、爪痕を確認,,末,1.72E+09,5.44E+08,36.5148388,136.6896666,1,カキ
POINT (136.77576 36.839798),1547,痕跡,R2,R2.10.16,,宝達志水町,宝達志水町宿地内,宿地内（釜谷池付近）にて、クマの食事痕（柿の木の枝折れ）の発見情報がありました。,,宿,1.74E+09,5.54E+08,36.839798,136.77576,1,カキ
POINT (136.553764 36.4434182),1550,痕跡,R2,R2.10.16,,能美市,能美市湯屋町地内,湯屋町墓地付近、公民館付近の柿の木に爪痕,,湯屋,1.72E+09,5.44E+08,36.4434182,136.553764,1,カキ
POINT (136.418793 36.31483),1551,痕跡,R2,R2.10.17,,小松市,小松市那谷町,柿の食跡,,那谷町,1.72E+09,5.44E+08,36.31483,136.418793,1,カキ
POINT (136.6805662 36.5878752),1552,痕跡,R2,R2.10.17,,金沢市,金沢市小坂町地内,柿の木被害,,小坂町,1.72E+09,5.44E+08,36.5878752,136.6805662,1,カキ
POINT (136.6970585 36.5209156),1555,痕跡,R2,R2.10.18,,金沢市,金沢市浅川町地内,柿の木被害、糞の発見,,浅川,1.72E+09,5.44E+08,36.5209156,136.6970585,1,カキ
POINT (136.7083073 36.519703),1556,痕跡,R2,R2.10.18,,金沢市,金沢市浅川町地内,柿の木被害、糞の発見,,浅川,1.72E+09,5.44E+08,36.519703,136.7083073,1,カキ
POINT (136.6909274 36.5229641),1557,痕跡,R2,R2.10.18,,金沢市,金沢市舘山町地内,果樹被害,,舘山町,1.72E+09,5.44E+08,36.5229641,136.6909274,1,カキ
POINT (136.439077 36.330107),1560,痕跡,R2,R2.10.19,,小松市,小松市南陽町,柿の木爪あと、糞,,戸津町,1.72E+09,5.44E+08,36.330107,136.439077,1,カキ
POINT (136.7185565 36.5105568),1566,痕跡,R2,R2.10.20,,金沢市,金沢市東荒屋町地内,柿の木の枝折れを発見,,東荒屋,1.72E+09,5.44E+08,36.5105568,136.7185565,1,カキ
POINT (136.751227 36.77494054),1567,痕跡,R2,R2.10.20,,かほく市,かほく市夏栗地内,クマの糞を発見、柿の木が複数折られている。;柿が食べられている。,,夏栗,1.72E+09,5.54E+08,36.77494054,136.751227,1,カキ
POINT (136.6853885 36.5834222),1571,痕跡,R2,R2.10.21,,金沢市,金沢市御所町地内,柿の木の枝折れ、糞を発見,,御所町,1.72E+09,5.44E+08,36.5834222,136.6853885,1,カキ
POINT (136.429977 36.359145),1575,痕跡,R2,R2.10.22,,小松市,小松市符津町,足跡、柿の木食痕,,符津みのわ町,1.72E+09,5.44E+08,36.359145,136.429977,1,カキ
POINT (136.7634465 36.5578177),1576,痕跡,R2,R2.10.22,,金沢市,金沢市二俣町地内,柿の木の枝折れ、糞を発見,,二俣,1.72E+09,5.44E+08,36.5578177,136.7634465,1,カキ
POINT (136.516068 36.344217),1582,痕跡,R2,R2.10.23,,小松市,小松市沢町,柿の木,,沢町,1.72E+09,5.44E+08,36.344217,136.516068,1,カキ
POINT (136.7099026 36.5014833),1588,痕跡,R2,R2.10.25,,金沢市,金沢市上辰巳町地内,柿の木被害,,上辰己,1.72E+09,5.44E+08,36.5014833,136.7099026,1,カキ
POINT (136.7237733 36.517655),1594,痕跡,R2,R2.10.26,,金沢市,金沢市蓮如町地内,柿の木の枝折れ、食痕、爪痕を発見,,蓮如,1.72E+09,5.44E+08,36.517655,136.7237733,1,カキ
POINT (136.6799828 36.513507),1595,痕跡,R2,R2.10.26,,金沢市,金沢市蓮花町地内,柿の木被害,,蓮花,1.72E+09,5.44E+08,36.513507,136.6799828,1,カキ
POINT (136.490334 36.393395),1601,痕跡,R2,R2.10.27,,小松市,小松市加賀八幡,柿の木被害、糞,,八幡,1.72E+09,5.44E+08,36.393395,136.490334,1,カキ
POINT (136.756259 36.794912),1602,痕跡,R2,R2.10.27,,宝達志水町,宝達志水町冬野地内,冬野地内にて、クマの糞を発見。;柿の種が糞の中に混入していた。,,冬野,1.74E+09,5.54E+08,36.794912,136.756259,1,カキ
POINT (136.5537596 36.4416111),1603,痕跡,R2,R2.10.27,,能美市,能美市湯屋町地内,民家の柿の木に食べた痕跡,,湯屋,1.72E+09,5.44E+08,36.4416111,136.5537596,1,カキ
POINT (136.751497 36.794165),1607,痕跡,R2,R2.10.28,,宝達志水町,宝達志水町森本地内,森本地内にて、クマの糞を発見。;柿の種が糞の中に混入されていた。;現地を確認した結果、爪痕も発見。;※かほく市に情報提供,,森本,1.74E+09,5.54E+08,36.794165,136.751497,1,カキ
POINT (136.7190653 36.724562),1616,痕跡,R2,R2.10.29,,かほく市,かほく市鉢伏地内,クマの糞を発見。;落ちている柿が食べられていた。,,鉢伏,1.72E+09,5.54E+08,36.724562,136.7190653,1,カキ
POINT (136.7256719 36.5993988),1617,痕跡,R2,R2.10.30,,金沢市,金沢市鳴瀬元町地内,柿の木被害,,鳴瀬元,1.72E+09,5.44E+08,36.5993988,136.7256719,1,カキ
POINT (136.7512773 36.77622475),1619,痕跡,R2,R2.10.30,,かほく市,かほく市夏栗地内,柿の木の枝が折られていた。柿の木に爪痕あり。;渋柿は少し食べて捨てられていた。,,夏栗,1.72E+09,5.54E+08,36.77622475,136.7512773,1,カキ
POINT (136.6370017 36.5185033),1620,痕跡,R2,R2.10.31,,金沢市,金沢市高尾町地内,柿の木被害（枝折れ）,,高尾,1.72E+09,5.44E+08,36.5185033,136.6370017,1,カキ
POINT (136.6867137 36.6047535),1622,痕跡,R2,R2.10.31,,金沢市,金沢市百坂町地内,山側での柿の木被害（枝折れ、爪痕）,,百坂町,1.72E+09,5.44E+08,36.6047535,136.6867137,1,カキ
POINT (136.762296 36.773922),1623,痕跡,R2,R2.10.31,,かほく市,かほく市黒川地内,柿の木の枝が折られていた。;柿の木に爪痕あり。;渋柿は少し食べて捨てられていた。,,黒川,1.72E+09,5.54E+08,36.773922,136.762296,1,カキ
POINT (136.7523938 36.77118499),1624,痕跡,R2,R2.10.31,,かほく市,かほく市夏栗地内,柿の木が折られている。;柿の木にクマの爪痕あり。,,夏栗,1.72E+09,5.54E+08,36.77118499,136.7523938,1,カキ
POINT (136.7511358 36.77583858),1626,痕跡,R2,R2.10.31,,かほく市,かほく市夏栗地内,クマの糞を発見;柿の木が複数折られている。,,夏栗,1.72E+09,5.54E+08,36.77583858,136.7511358,1,カキ
POINT (136.427485 36.338016),1627,痕跡,R2,R2.11.2,,小松市,小松市下粟津町,柿の木被害、糞,,下粟津町,1.72E+09,5.44E+08,36.338016,136.427485,1,カキ
POINT (136.456994 36.368872),1629,痕跡,R2,R2.11.3,,小松市,小松市三谷町,りんご果樹園被害、糞,,三谷町,1.72E+09,5.44E+08,36.368872,136.456994,1,リンゴ
POINT (136.7077592 36.5192484),1630,痕跡,R2,R2.11.3,,金沢市,金沢市袋板屋町地内,柿の木被害（糞の発見、枝折れ、爪痕）,,袋板屋,1.72E+09,5.44E+08,36.5192484,136.7077592,1,カキ
